task_id,split,difficulty,source_family,target_entity,result_present,record_valid,status,abstained,selected_candidate_present,produced_plan,plan_valid,references_valid,execution_valid,downstream_valid,overall_valid,input_tokens,output_tokens,total_tokens,latency_ms,cost_usd,error_codes
SYN_101,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,23986.936,0.0,[]
SYN_102,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,False,False,False,False,0,0,0,26914.706,0.0,['invalid_references']
SYN_103,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,False,False,False,False,0,0,0,28722.874,0.0,['invalid_references']
SYN_104,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,True,False,False,False,0,0,0,28448.754,0.0,['invalid_execution']
SYN_105,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,27117.173,0.0,[]
SYN_106,synthetic,easy,synthetic_copy_rename,canonical_user_profile,True,True,ok,False,True,True,True,False,False,False,False,0,0,0,28338.051,0.0,['invalid_references']
SYN_107,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,25144.091,0.0,[]
SYN_108,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,24430.579,0.0,[]
SYN_109,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,24044.226,0.0,[]
SYN_110,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,False,False,False,False,0,0,0,24050.62,0.0,['invalid_references']
SYN_111,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,24529.23,0.0,[]
SYN_112,synthetic,easy,synthetic_copy_rename,canonical_activity_summary,True,True,ok,False,True,True,True,True,True,True,True,0,0,0,25016.098,0.0,[]
